trial,prob,p,P,S,alpha,lambda
63,0.9999979169358416,0.4,70,0,2,0.5
64,0.9999983057025128,0.4,70,0,2,0.5
65,0.9999986219128373,0.4,70,0,2,0.5
66,0.9999988791081562,0.4,70,0,2,0.5
67,0.9999990883025651,0.4,70,0,2,0.5
68,0.9999992584545772,0.4,70,0,2,0.5
69,0.9999993968507591,0.4,70,0,2,0.5
70,0.9999995094177698,0.4,70,0,2,0.5
71,0.9999996009761628,0.4,70,0,2,0.5
72,0.9999996754468206,0.4,70,0,2,0.5
73,0.9999997360188633,0.4,70,0,2,0.5
74,0.9999997852862184,0.4,70,0,2,0.5
75,0.9999998253587035,0.4,70,0,2,0.5
76,0.9999998579523763,0.4,70,0,2,0.5
77,0.9999998844630235,0.4,70,0,2,0.5
78,0.9999999060259327,0.4,70,0,2,0.5
79,0.9999999235645106,0.4,70,0,2,0.5
80,0.999999937829827,0.4,70,0,2,0.5
81,0.9999999494327771,0.4,70,0,2,0.5
82,0.9999999588702444,0.4,70,0,2,0.5
83,0.9999999665463772,0.4,70,0,2,0.5
84,0.9999999727898973,0.4,70,0,2,0.5
85,0.9999999778681761,0.4,70,0,2,0.5
86,0.9999999819986849,0.4,70,0,2,0.5
87,0.9999999853583083,0.4,70,0,2,0.5
88,0.999999988090918,0.4,70,0,2,0.5
89,0.999999990313535,0.4,70,0,2,0.5
90,0.9999999921213404,0.4,70,0,2,0.5
91,0.9999999935917512,0.4,70,0,2,0.5
92,0.9999999947877362,0.4,70,0,2,0.5
93,0.9999999957605119,0.4,70,0,2,0.5
94,0.9999999965517365,0.4,70,0,2,0.5
95,0.9999999971952932,0.4,70,0,2,0.5
96,0.9999999977187415,0.4,70,0,2,0.5
97,0.9999999981444976,0.4,70,0,2,0.5
98,0.9999999984907939,0.4,70,0,2,0.5
99,0.9999999987724603,0.4,70,0,2,0.5
100,0.9999999990015586,0.4,70,0,2,0.5
0,0,0.5,70,0,2,0.5
1,0.24936405820658503,0.5,70,0,2,0.5
2,0.4354156722829695,0.5,70,0,2,0.5
3,0.5750393204044002,0.5,70,0,2,0.5
4,0.6790645523128509,0.5,70,0,2,0.5
5,0.7562793317391371,0.5,70,0,2,0.5
6,0.8139209475724966,0.5,70,0,2,0.5
7,0.8574214819367395,0.5,70,0,2,0.5
8,0.8905901655449888,0.5,70,0,2,0.5
9,0.91604691757947,0.5,70,0,2,0.5
10,0.9356325332285614,0.5,70,0,2,0.5
11,0.9506947908589257,0.5,70,0,2,0.5
12,0.9622586034795796,0.5,70,0,2,0.5
13,0.971120508543631,0.5,70,0,2,0.5
14,0.977903110004413,0.5,70,0,2,0.5
15,0.9830911191733797,0.5,70,0,2,0.5
16,0.9870591257848188,0.5,70,0,2,0.5
17,0.9900946876711708,0.5,70,0,2,0.5
18,0.9924176121373078,0.5,70,0,2,0.5
19,0.9941956305725924,0.5,70,0,2,0.5
20,0.9955567515063443,0.5,70,0,2,0.5
21,0.9965987672531067,0.5,70,0,2,0.5
22,0.9973964720386019,0.5,70,0,2,0.5
23,0.9980071187723594,0.5,70,0,2,0.5
24,0.9984745513426303,0.5,70,0,2,0.5
25,0.9988323474685741,0.5,70,0,2,0.5
26,0.9991062192642354,0.5,70,0,2,0.5
27,0.9993158520807864,0.5,70,0,2,0.5
28,0.9994763147771599,0.5,70,0,2,0.5
29,0.9995991412957405,0.5,70,0,2,0.5
30,0.9996931596393742,0.5,70,0,2,0.5
31,0.9997651267808331,0.5,70,0,2,0.5
32,0.9998202146692471,0.5,70,0,2,0.5
33,0.9998623821491278,0.5,70,0,2,0.5
34,0.9998946595563154,0.5,70,0,2,0.5
35,0.9999193665093715,0.5,70,0,2,0.5
36,0.9999382785972347,0.5,70,0,2,0.5
37,0.9999527549673458,0.5,70,0,2,0.5
38,0.9999638359917147,0.5,70,0,2,0.5
39,0.9999723180298705,0.5,70,0,2,0.5
40,0.9999788106592492,0.5,70,0,2,0.5
41,0.9999837804837949,0.5,70,0,2,0.5
42,0.9999875846678775,0.5,70,0,2,0.5
43,0.9999904966049937,0.5,70,0,2,0.5
44,0.9999927255658879,0.5,70,0,2,0.5
45,0.9999944317382112,0.5,70,0,2,0.5
46,0.9999957377386601,0.5,70,0,2,0.5
47,0.9999967374249918,0.5,70,0,2,0.5
48,0.9999975026412364,0.5,70,0,2,0.5
49,0.9999980883808671,0.5,70,0,2,0.5
50,0.9999985367389869,0.5,70,0,2,0.5
51,0.9999988799375581,0.5,70,0,2,0.5
52,0.9999991426410857,0.5,70,0,2,0.5
53,0.9999993437291705,0.5,70,0,2,0.5
54,0.9999994976533233,0.5,70,0,2,0.5
55,0.9999996154755442,0.5,70,0,2,0.5
56,0.9999997056633119,0.5,70,0,2,0.5
57,0.9999997746981117,0.5,70,0,2,0.5
58,0.9999998275412381,0.5,70,0,2,0.5
59,0.9999998679903448,0.5,70,0,2,0.5
60,0.9999998989523706,0.5,70,0,2,0.5
61,0.99999992265245,0.5,70,0,2,0.5
62,0.9999999407938264,0.5,70,0,2,0.5
63,0.9999999546802582,0.5,70,0,2,0.5
64,0.9999999653097156,0.5,70,0,2,0.5
65,0.9999999734461014,0.5,70,0,2,0.5
66,0.9999999796741496,0.5,70,0,2,0.5
67,0.9999999844414487,0.5,70,0,2,0.5
68,0.999999988090608,0.5,70,0,2,0.5
69,0.9999999908838803,0.5,70,0,2,0.5
70,0.9999999930220081,0.5,70,0,2,0.5
71,0.9999999946586519,0.5,70,0,2,0.5
72,0.9999999959114311,0.5,70,0,2,0.5
73,0.999999996870379,0.5,70,0,2,0.5
74,0.9999999976044117,0.5,70,0,2,0.5
75,0.9999999981662817,0.5,70,0,2,0.5
76,0.9999999985963687,0.5,70,0,2,0.5
77,0.9999999989255814,0.5,70,0,2,0.5
